"","HHID","HHSPLITID","STATEID","DISTID","PSUID","NR8","Remittance","NR13B","NR10","NR5","Age","num_non_res","marital_status","relation_to_hh","INCOME","INCOMEPC","INCREMIT","hh_size","COPC","URBAN2011","edu_level","edu_num","Gender","married","unmarried","widowed","urban","non_resident_remits","hhY_minus_Remt","log_hhY_minus_Remt","states_numeric","EAG"
"11",160,1,"(01) Jammu & Kashmir 01",5,2,"(1) same state",NA,36000,"(11) 11th Class","(1) Male",18,1,"(2) Unmarried","(03) Son/Daughter",116400,23280,NA,5,39804,"(0) rural 0","Classes 11-12","3",1,0,1,0,0,FALSE,116400,11.6647878142795,1,1
"12",20,1,"(01) Jammu & Kashmir 01",5,6,"(1) same state",NA,24000,"(16) Above Bachelors","(2) Female",29,2,"(2) Unmarried","(03) Son/Daughter",340400,56733.3320313,NA,6,85326.3359375,"(0) rural 0","Above Bachelors","6",0,0,1,0,0,FALSE,340400,12.7378766756814,1,1
"13",20,1,"(01) Jammu & Kashmir 01",5,6,"(2) another state",NA,120000,"(15) Bachelors","(1) Male",25,2,"(2) Unmarried","(03) Son/Daughter",340400,56733.3320313,NA,6,85326.3359375,"(0) rural 0","Bachelors","5",1,0,1,0,0,FALSE,340400,12.7378766756814,1,1
"14",150,1,"(01) Jammu & Kashmir 01",5,6,"(1) same state",NA,NA,"(08) 8th class","(1) Male",63,1,"(1) Married","(02) Wife/Husband",56900,14225,NA,4,31015,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,FALSE,56900,10.9490506201144,1,1
"15",10,1,"(01) Jammu & Kashmir 01",12,1,"(1) same state",NA,NA,"(00) none","(1) Male",80,1,"(1) Married","(06) Father/Mother",57880,8268.5712891,NA,7,11912.2861328,"(0) rural 0","None","0",1,1,0,0,0,FALSE,57880,10.9661271807454,1,1
"16",30,1,"(01) Jammu & Kashmir 01",12,1,"(1) same state",NA,NA,"(00) none","(1) Male",90,2,"(1) Married","(06) Father/Mother",32150,10716.6669922,NA,3,24446.6660156,"(0) rural 0","None","0",1,1,0,0,0,FALSE,32150,10.3781677296658,1,1
"17",30,1,"(01) Jammu & Kashmir 01",12,1,"(1) same state",NA,NA,"(00) none","(2) Female",85,2,"(1) Married","(06) Father/Mother",32150,10716.6669922,NA,3,24446.6660156,"(0) rural 0","None","0",0,1,0,0,0,FALSE,32150,10.3781677296658,1,1
"18",40,1,"(01) Jammu & Kashmir 01",12,1,"(1) same state",NA,30000,"(12) High Secondary","(1) Male",23,2,"(2) Unmarried","(03) Son/Daughter",144938,28987.5996094,NA,5,37872.1992188,"(0) rural 0","Classes 11-12","3",1,0,1,0,0,FALSE,144938,11.8840613437548,1,1
"19",40,1,"(01) Jammu & Kashmir 01",12,1,"(2) another state",NA,60000,"(15) Bachelors","(2) Female",20,2,"(2) Unmarried","(03) Son/Daughter",144938,28987.5996094,NA,5,37872.1992188,"(0) rural 0","Bachelors","5",0,0,1,0,0,FALSE,144938,11.8840613437548,1,1
"20",50,1,"(01) Jammu & Kashmir 01",12,1,"(1) same state",30000,NA,"(12) High Secondary","(1) Male",22,1,"(2) Unmarried","(03) Son/Daughter",71300,23766.6660156,30000,3,30993.3339844,"(0) rural 0","Classes 11-12","3",1,0,1,0,0,TRUE,41300,10.6286177789491,1,1
"21",60,1,"(01) Jammu & Kashmir 01",12,1,"(1) same state",NA,24000,"(00) none","(2) Female",72,1,"(3) Widowed","(06) Father/Mother",601415,150353.75,NA,4,76025,"(0) rural 0","None","0",0,0,0,1,0,FALSE,601415,13.307040491028,1,1
"22",70,1,"(01) Jammu & Kashmir 01",12,1,"(1) same state",NA,5000,"(00) none","(2) Female",95,1,"(3) Widowed","(06) Father/Mother",68460,13692,NA,5,22743,"(0) rural 0","None","0",0,0,0,1,0,FALSE,68460,11.1340049120842,1,1
"23",90,1,"(01) Jammu & Kashmir 01",12,1,"(2) another state",25000,NA,"(15) Bachelors","(1) Male",28,1,"(2) Unmarried","(03) Son/Daughter",173130,57710,25000,3,181894.671875,"(0) rural 0","Bachelors","5",1,0,1,0,0,TRUE,148130,11.9058455455761,1,1
"24",100,1,"(01) Jammu & Kashmir 01",12,1,"(1) same state",NA,5000,"(00) none","(2) Female",58,1,"(3) Widowed","(06) Father/Mother",273400,68350,NA,4,60475.6015625,"(0) rural 0","None","0",0,0,0,1,0,FALSE,273400,12.518691203272,1,1
"25",140,1,"(01) Jammu & Kashmir 01",12,1,"(2) another state",24000,NA,"(09) 9th class","(1) Male",25,2,"(2) Unmarried","(03) Son/Daughter",50300,25150,34000,2,42689,"(0) rural 0","Classes 6-10","2",1,0,1,0,0,TRUE,26300,10.1773242181659,1,1
"26",140,1,"(01) Jammu & Kashmir 01",12,1,"(1) same state",10000,NA,"(00) none","(1) Male",38,2,"(1) Married","(03) Son/Daughter",50300,25150,34000,2,42689,"(0) rural 0","None","0",1,1,0,0,0,TRUE,40300,10.6041067479348,1,1
"27",150,1,"(01) Jammu & Kashmir 01",12,1,"(1) same state",NA,10000,"(06) 6th class","(2) Female",65,1,"(3) Widowed","(06) Father/Mother",205200,51300,NA,4,37770,"(0) rural 0","Classes 6-10","2",0,0,0,1,0,FALSE,205200,12.2317403922788,1,1
"28",160,1,"(01) Jammu & Kashmir 01",12,1,"(1) same state",120000,NA,"(10) Secondary","(1) Male",45,1,"(1) Married","(02) Wife/Husband",116650,38883.3320313,120000,3,55362,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,TRUE,-3350,-8.11671562481911,1,1
"29",170,1,"(01) Jammu & Kashmir 01",12,1,"(1) same state",NA,5000,"(00) none","(2) Female",85,1,"(3) Widowed","(06) Father/Mother",199950,49987.5,NA,4,46291.203125,"(0) rural 0","None","0",0,0,0,1,0,FALSE,199950,12.205822614275,1,1
"30",180,2,"(01) Jammu & Kashmir 01",12,1,"(2) another state",150000,NA,"(10) Secondary","(1) Male",40,1,"(1) Married","(02) Wife/Husband",228450,57112.5,150000,4,85085.5,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,TRUE,78450,11.2702167581612,1,1
"31",190,1,"(01) Jammu & Kashmir 01",12,1,"(1) same state",NA,NA,"(00) none","(1) Male",80,2,"(1) Married","(06) Father/Mother",310950,77737.5,NA,4,117945,"(0) rural 0","None","0",1,1,0,0,0,FALSE,310950,12.647387406532,1,1
"32",190,1,"(01) Jammu & Kashmir 01",12,1,"(1) same state",NA,NA,"(00) none","(2) Female",78,2,"(1) Married","(06) Father/Mother",310950,77737.5,NA,4,117945,"(0) rural 0","None","0",0,1,0,0,0,FALSE,310950,12.647387406532,1,1
"33",200,1,"(01) Jammu & Kashmir 01",12,1,"(2) another state",NA,5000,"(12) High Secondary","(1) Male",22,1,"(2) Unmarried","(03) Son/Daughter",103800,25950,NA,4,36200,"(0) rural 0","Classes 11-12","3",1,0,1,0,0,FALSE,103800,11.5502212497139,1,1
"34",10,1,"(01) Jammu & Kashmir 01",12,3,"(1) same state",NA,10000,"(00) none","(2) Female",70,1,"(3) Widowed","(06) Father/Mother",184200,46050,NA,4,186658,"(0) rural 0","None","0",0,0,0,1,0,FALSE,184200,12.1237774028033,1,1
"35",30,1,"(01) Jammu & Kashmir 01",12,3,"(1) same state",NA,NA,"(10) Secondary","(1) Male",45,4,"(1) Married","(06) Father/Mother",475460,67922.859375,40000,7,71400,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,FALSE,475460,13.0720380354523,1,1
"36",30,1,"(01) Jammu & Kashmir 01",12,3,"(1) same state",NA,NA,"(16) Above Bachelors","(2) Female",40,4,"(1) Married","(06) Father/Mother",475460,67922.859375,40000,7,71400,"(0) rural 0","Above Bachelors","6",0,1,0,0,0,FALSE,475460,13.0720380354523,1,1
"37",30,1,"(01) Jammu & Kashmir 01",12,3,"(1) same state",40000,NA,"(16) Above Bachelors","(1) Male",37,4,"(1) Married","(03) Son/Daughter",475460,67922.859375,40000,7,71400,"(0) rural 0","Above Bachelors","6",1,1,0,0,0,TRUE,435460,12.9841582226063,1,1
"38",30,1,"(01) Jammu & Kashmir 01",12,3,"(1) same state",NA,NA,"(15) Bachelors","(1) Male",33,4,"(1) Married","(04) Daughter-/Son-inlaw",475460,67922.859375,40000,7,71400,"(0) rural 0","Bachelors","5",1,1,0,0,0,FALSE,475460,13.0720380354523,1,1
"39",40,1,"(01) Jammu & Kashmir 01",12,3,"(1) same state",NA,3000,"(08) 8th class","(2) Female",28,1,"(4) Separated/Divorced","(03) Son/Daughter",35680,8920,NA,4,27532.6015625,"(0) rural 0","Classes 6-10","2",0,0,0,0,0,FALSE,35680,10.4823455866939,1,1
"40",60,1,"(01) Jammu & Kashmir 01",12,3,"(1) same state",NA,NA,"(10) Secondary","(1) Male",32,2,"(1) Married","(02) Wife/Husband",174300,34860,20000,5,50926.3984375,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,FALSE,174300,12.0685332315081,1,1
"41",60,1,"(01) Jammu & Kashmir 01",12,3,"(2) another state",20000,NA,"(08) 8th class","(1) Male",27,2,"(2) Unmarried","(03) Son/Daughter",174300,34860,20000,5,50926.3984375,"(0) rural 0","Classes 6-10","2",1,0,1,0,0,TRUE,154300,11.9466540383513,1,1
"42",90,1,"(01) Jammu & Kashmir 01",12,3,"(1) same state",5000,NA,"(11) 11th Class","(1) Male",26,1,"(2) Unmarried","(03) Son/Daughter",75150,18787.5,5000,4,32787.25,"(0) rural 0","Classes 11-12","3",1,0,1,0,0,TRUE,70150,11.1583910855306,1,1
"43",100,1,"(01) Jammu & Kashmir 01",12,3,"(1) same state",NA,30000,"(12) High Secondary","(2) Female",17,1,"(2) Unmarried","(03) Son/Daughter",705250,176312.5,NA,4,116469,"(0) rural 0","Classes 11-12","3",0,0,1,0,0,FALSE,705250,13.4663076288642,1,1
"44",120,1,"(01) Jammu & Kashmir 01",12,3,"(2) another state",50000,NA,"(12) High Secondary","(1) Male",34,2,"(1) Married","(02) Wife/Husband",248000,82666.6640625,1e+05,3,48685.3320313,"(0) rural 0","Classes 11-12","3",1,1,0,0,0,TRUE,198000,12.1960223096767,1,1
"45",120,1,"(01) Jammu & Kashmir 01",12,3,"(2) another state",50000,NA,"(12) High Secondary","(1) Male",40,2,"(1) Married","(03) Son/Daughter",248000,82666.6640625,1e+05,3,48685.3320313,"(0) rural 0","Classes 11-12","3",1,1,0,0,0,TRUE,198000,12.1960223096767,1,1
"46",140,1,"(01) Jammu & Kashmir 01",12,3,"(1) same state",NA,32000,"(16) Above Bachelors","(1) Male",30,1,"(1) Married","(03) Son/Daughter",153020,51006.6679688,NA,3,34618.3320313,"(0) rural 0","Above Bachelors","6",1,1,0,0,0,FALSE,153020,11.9383239107858,1,1
"47",150,1,"(01) Jammu & Kashmir 01",12,3,"(2) another state",20000,NA,"(12) High Secondary","(1) Male",30,3,"(1) Married","(02) Wife/Husband",492300,44754.546875,20000,11,57790.9101563,"(0) rural 0","Classes 11-12","3",1,1,0,0,0,TRUE,472300,13.0653696558842,1,1
"48",150,1,"(01) Jammu & Kashmir 01",12,3,"(1) same state",NA,3000,"(00) none","(1) Male",90,3,"(1) Married","(06) Father/Mother",492300,44754.546875,20000,11,57790.9101563,"(0) rural 0","None","0",1,1,0,0,0,FALSE,492300,13.1068435657463,1,1
"49",150,1,"(01) Jammu & Kashmir 01",12,3,"(1) same state",NA,2000,"(00) none","(2) Female",85,3,"(1) Married","(06) Father/Mother",492300,44754.546875,20000,11,57790.9101563,"(0) rural 0","None","0",0,1,0,0,0,FALSE,492300,13.1068435657463,1,1
"50",160,1,"(01) Jammu & Kashmir 01",12,3,"(2) another state",NA,60000,"(08) 8th class","(1) Male",35,2,"(1) Married","(03) Son/Daughter",47300,23650,NA,2,55289,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,FALSE,47300,10.76426557448,1,1
"51",160,1,"(01) Jammu & Kashmir 01",12,3,"(1) same state",NA,60000,"(09) 9th class","(1) Male",27,2,"(1) Married","(03) Son/Daughter",47300,23650,NA,2,55289,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,FALSE,47300,10.76426557448,1,1
"52",170,1,"(01) Jammu & Kashmir 01",12,3,"(3) abroad",40000,NA,"(00) none","(1) Male",45,2,"(1) Married","(02) Wife/Husband",54775,18258.3339844,40000,3,56873.3320313,"(0) rural 0","None","0",1,1,0,0,0,TRUE,14775,9.6006918422743,1,1
"53",170,1,"(01) Jammu & Kashmir 01",12,3,"(1) same state",NA,1000,"(00) none","(2) Female",62,2,"(3) Widowed","(06) Father/Mother",54775,18258.3339844,40000,3,56873.3320313,"(0) rural 0","None","0",0,0,0,1,0,FALSE,54775,10.9109891644637,1,1
"54",180,1,"(01) Jammu & Kashmir 01",12,3,"(1) same state",80000,NA,"(12) High Secondary","(1) Male",32,1,"(1) Married","(02) Wife/Husband",173700,57900,80000,3,167420,"(0) rural 0","Classes 11-12","3",1,1,0,0,0,TRUE,93700,11.4478534682265,1,1
"55",180,2,"(01) Jammu & Kashmir 01",12,3,"(1) same state",5000,NA,"(00) none","(2) Female",85,1,"(3) Widowed","(06) Father/Mother",104650,26162.5,5000,4,29805,"(0) rural 0","None","0",0,0,0,1,0,TRUE,99650,11.5094193256409,1,1
"56",200,1,"(01) Jammu & Kashmir 01",12,3,"(1) same state",5000,6000,"(09) 9th class","(1) Male",38,1,"(1) Married","(03) Son/Daughter",160820,32164,5000,5,19353.8007813,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,TRUE,155820,11.9564567738848,1,1
"57",10,1,"(01) Jammu & Kashmir 01",12,4,"(3) abroad",40000,NA,"(08) 8th class","(1) Male",26,2,"(1) Married","(02) Wife/Husband",161250,26875,80000,6,85676,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,TRUE,121250,11.7056098087997,1,1
"58",10,1,"(01) Jammu & Kashmir 01",12,4,"(3) abroad",40000,NA,"(08) 8th class","(1) Male",23,2,"(2) Unmarried","(03) Son/Daughter",161250,26875,80000,6,85676,"(0) rural 0","Classes 6-10","2",1,0,1,0,0,TRUE,121250,11.7056098087997,1,1
"59",20,1,"(01) Jammu & Kashmir 01",12,4,"(3) abroad",72000,NA,"(00) none","(1) Male",30,2,"(1) Married","(02) Wife/Husband",185300,61766.6679688,72000,3,36354,"(0) rural 0","None","0",1,1,0,0,0,TRUE,113300,11.6377944470161,1,1
"60",20,1,"(01) Jammu & Kashmir 01",12,4,"(1) same state",NA,NA,"(00) none","(1) Male",28,2,"(2) Unmarried","(03) Son/Daughter",185300,61766.6679688,72000,3,36354,"(0) rural 0","None","0",1,0,1,0,0,FALSE,185300,12.1297314122735,1,1
"61",20,2,"(01) Jammu & Kashmir 01",12,4,"(3) abroad",90000,NA,"(06) 6th class","(1) Male",35,1,"(1) Married","(02) Wife/Husband",90580,22645,90000,4,24515,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,TRUE,580,6.36302810354046,1,1
"62",30,1,"(01) Jammu & Kashmir 01",12,4,"(3) abroad",130000,NA,"(00) none","(1) Male",42,1,"(1) Married","(02) Wife/Husband",273950,34243.75,130000,8,25502.5,"(0) rural 0","None","0",1,1,0,0,0,TRUE,143950,11.8772212960403,1,1
"63",30,2,"(01) Jammu & Kashmir 01",12,4,"(1) same state",90000,NA,"(05) 5th class","(1) Male",45,1,"(1) Married","(02) Wife/Husband",78900,13150,90000,6,19480,"(0) rural 0","Classes 1-5","1",1,1,0,0,0,TRUE,-11100,-9.31470038730042,1,1
"64",40,1,"(01) Jammu & Kashmir 01",12,4,"(1) same state",NA,5000,"(00) none","(1) Male",70,2,"(1) Married","(06) Father/Mother",105476,17579.3339844,NA,6,26052,"(0) rural 0","None","0",1,1,0,0,0,FALSE,105476,11.5662387178672,1,1
"65",40,1,"(01) Jammu & Kashmir 01",12,4,"(1) same state",NA,NA,"(00) none","(2) Female",65,2,"(1) Married","(06) Father/Mother",105476,17579.3339844,NA,6,26052,"(0) rural 0","None","0",0,1,0,0,0,FALSE,105476,11.5662387178672,1,1
"66",50,2,"(01) Jammu & Kashmir 01",12,4,"(1) same state",NA,40000,"(00) none","(1) Male",60,1,"(1) Married","(08) Father-/Mother-inlaw",228860,57215,NA,4,93131,"(0) rural 0","None","0",1,1,0,0,0,FALSE,228860,12.3408657418717,1,1
"67",50,3,"(01) Jammu & Kashmir 01",12,4,"(1) same state",NA,NA,"(08) 8th class","(1) Male",80,2,"(1) Married","(06) Father/Mother",78000,15600,NA,5,29120,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,FALSE,78000,11.2644641056717,1,1
"68",50,3,"(01) Jammu & Kashmir 01",12,4,"(1) same state",NA,NA,"(00) none","(2) Female",70,2,"(1) Married","(06) Father/Mother",78000,15600,NA,5,29120,"(0) rural 0","None","0",0,1,0,0,0,FALSE,78000,11.2644641056717,1,1
"69",60,2,"(01) Jammu & Kashmir 01",12,4,"(1) same state",60000,NA,"(04) 4th class","(1) Male",60,2,"(1) Married","(06) Father/Mother",108000,21600,60000,5,21064.8007813,"(0) rural 0","Classes 1-5","1",1,1,0,0,0,TRUE,48000,10.77895628989,1,1
"70",60,2,"(01) Jammu & Kashmir 01",12,4,"(1) same state",NA,NA,"(00) none","(2) Female",56,2,"(1) Married","(06) Father/Mother",108000,21600,60000,5,21064.8007813,"(0) rural 0","None","0",0,1,0,0,0,FALSE,108000,11.5898865061064,1,1
"71",70,1,"(01) Jammu & Kashmir 01",12,4,"(2) another state",NA,150000,"(12) High Secondary","(2) Female",18,2,"(2) Unmarried","(03) Son/Daughter",650280,130056,NA,5,110350.796875,"(0) rural 0","Classes 11-12","3",0,0,1,0,0,FALSE,650280,13.3851583183482,1,1
"72",70,1,"(01) Jammu & Kashmir 01",12,4,"(1) same state",NA,4800,"(00) none","(2) Female",12,2,"(2) Unmarried","(06) Father/Mother",650280,130056,NA,5,110350.796875,"(0) rural 0","None","0",0,0,1,0,0,FALSE,650280,13.3851583183482,1,1
"73",80,1,"(01) Jammu & Kashmir 01",12,4,"(1) same state",NA,NA,"(00) none","(2) Female",55,1,"(3) Widowed","(10) Brother-/Sister-inlaw",306550,61310,NA,5,153224.796875,"(0) rural 0","None","0",0,0,0,1,0,FALSE,306550,12.6331361531908,1,1
"74",100,1,"(01) Jammu & Kashmir 01",12,4,"(1) same state",NA,1e+05,"(15) Bachelors","(1) Male",27,2,"(2) Unmarried","(03) Son/Daughter",196120,98060,NA,2,371930,"(0) rural 0","Bachelors","5",1,0,1,0,0,FALSE,196120,12.1864819957652,1,1
"75",100,1,"(01) Jammu & Kashmir 01",12,4,"(1) same state",NA,150000,"(15) Bachelors","(1) Male",30,2,"(2) Unmarried","(03) Son/Daughter",196120,98060,NA,2,371930,"(0) rural 0","Bachelors","5",1,0,1,0,0,FALSE,196120,12.1864819957652,1,1
"76",110,1,"(01) Jammu & Kashmir 01",12,4,"(2) another state",NA,60000,"(12) High Secondary","(1) Male",30,1,"(2) Unmarried","(07) Brother/Sister",462350,77058.3359375,NA,6,81093.3359375,"(0) rural 0","Classes 11-12","3",1,0,1,0,0,FALSE,462350,13.0440774590058,1,1
"77",120,1,"(01) Jammu & Kashmir 01",12,4,"(3) abroad",10000,NA,"(05) 5th class","(1) Male",36,3,"(1) Married","(06) Father/Mother",269350,38478.5703125,87000,7,42841.7148438,"(0) rural 0","Classes 1-5","1",1,1,0,0,0,TRUE,259350,12.4659337797795,1,1
"78",120,1,"(01) Jammu & Kashmir 01",12,4,"(3) abroad",75000,NA,"(10) Secondary","(1) Male",26,3,"(2) Unmarried","(03) Son/Daughter",269350,38478.5703125,87000,7,42841.7148438,"(0) rural 0","Classes 6-10","2",1,0,1,0,0,TRUE,194350,12.1774159362804,1,1
"79",120,1,"(01) Jammu & Kashmir 01",12,4,"(1) same state",2000,NA,"(15) Bachelors","(1) Male",22,3,"(2) Unmarried","(03) Son/Daughter",269350,38478.5703125,87000,7,42841.7148438,"(0) rural 0","Bachelors","5",1,0,1,0,0,TRUE,267350,12.4963139403769,1,1
"80",120,2,"(01) Jammu & Kashmir 01",12,4,"(1) same state",NA,NA,"(00) none","(1) Male",57,1,"(1) Married","(02) Wife/Husband",82464,27488,NA,3,27318.6660156,"(0) rural 0","None","0",1,1,0,0,0,FALSE,82464,11.3201171134521,1,1
"81",130,1,"(01) Jammu & Kashmir 01",12,4,"(1) same state",NA,NA,"(00) none","(2) Female",70,1,"(3) Widowed","(06) Father/Mother",35162,8790.5,NA,4,51517,"(0) rural 0","None","0",0,0,0,1,0,FALSE,35162,10.4677212330027,1,1
"82",140,1,"(01) Jammu & Kashmir 01",12,4,"(2) another state",50000,NA,"(10) Secondary","(1) Male",40,1,"(1) Married","(02) Wife/Husband",41550,6925,50000,6,42819,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,TRUE,-8450,-9.04192172035122,1,1
"83",170,1,"(01) Jammu & Kashmir 01",12,4,"(1) same state",NA,90000,"(12) High Secondary","(1) Male",20,3,"(2) Unmarried","(03) Son/Daughter",225590,45118,31200,5,46154.3984375,"(0) rural 0","Classes 11-12","3",1,0,1,0,0,FALSE,225590,12.3264744713825,1,1
"84",170,1,"(01) Jammu & Kashmir 01",12,4,"(1) same state",24000,NA,"(11) 11th Class","(1) Male",28,3,"(1) Married","(03) Son/Daughter",225590,45118,31200,5,46154.3984375,"(0) rural 0","Classes 11-12","3",1,1,0,0,0,TRUE,201590,12.2139912107745,1,1
"85",170,1,"(01) Jammu & Kashmir 01",12,4,"(1) same state",7200,NA,"(12) High Secondary","(1) Male",24,3,"(1) Married","(03) Son/Daughter",225590,45118,31200,5,46154.3984375,"(0) rural 0","Classes 11-12","3",1,1,0,0,0,TRUE,218390,12.2940377342588,1,1
"86",170,2,"(01) Jammu & Kashmir 01",12,4,"(1) same state",NA,7200,"(06) 6th class","(1) Male",55,1,"(1) Married","(06) Father/Mother",104550,52275,NA,2,41877,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,FALSE,104550,11.5574207048568,1,1
"87",180,1,"(01) Jammu & Kashmir 01",12,4,"(3) abroad",NA,1e+05,"(03) 3rd class","(1) Male",22,1,"(2) Unmarried","(03) Son/Daughter",131900,43966.6679688,NA,3,35050.6679688,"(0) rural 0","Classes 1-5","1",1,0,1,0,0,FALSE,131900,11.7897993387054,1,1
"88",180,2,"(01) Jammu & Kashmir 01",12,4,"(3) abroad",60000,NA,"(09) 9th class","(1) Male",32,2,"(1) Married","(02) Wife/Husband",78000,26000,70000,3,21438.6660156,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,TRUE,18000,9.7981270368783,1,1
"89",180,2,"(01) Jammu & Kashmir 01",12,4,"(1) same state",10000,NA,"(08) 8th class","(1) Male",58,2,"(1) Married","(08) Father-/Mother-inlaw",78000,26000,70000,3,21438.6660156,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,TRUE,68000,11.1272629841582,1,1
"90",190,1,"(01) Jammu & Kashmir 01",12,4,"(1) same state",1e+05,NA,"(12) High Secondary","(1) Male",45,1,"(1) Married","(02) Wife/Husband",111700,27925,1e+05,4,58308.5,"(0) rural 0","Classes 11-12","3",1,1,0,0,0,TRUE,11700,9.36734412078585,1,1
"91",190,2,"(01) Jammu & Kashmir 01",12,4,"(1) same state",80000,NA,"(08) 8th class","(1) Male",30,2,"(1) Married","(02) Wife/Husband",72300,24100,85000,3,49337.3320313,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,TRUE,-7700,-8.94897560784178,1,1
"92",190,2,"(01) Jammu & Kashmir 01",12,4,"(1) same state",5000,NA,"(00) none","(2) Female",50,2,"(3) Widowed","(08) Father-/Mother-inlaw",72300,24100,85000,3,49337.3320313,"(0) rural 0","None","0",0,0,0,1,0,TRUE,67300,11.1169155156328,1,1
"93",200,1,"(01) Jammu & Kashmir 01",12,4,"(1) same state",NA,8000,"(09) 9th class","(1) Male",17,2,"(2) Unmarried","(07) Brother/Sister",127898,18271.1425781,2000,7,47153.7148438,"(0) rural 0","Classes 6-10","2",1,0,1,0,0,FALSE,127898,11.7589883502281,1,1
"94",200,1,"(01) Jammu & Kashmir 01",12,4,"(1) same state",2000,NA,"(08) 8th class","(1) Male",23,2,"(2) Unmarried","(07) Brother/Sister",127898,18271.1425781,2000,7,47153.7148438,"(0) rural 0","Classes 6-10","2",1,0,1,0,0,TRUE,125898,11.7432273342828,1,1
